"station","site","bay","temp.c","julian","year","species","age.1","age.0"
202,"Ugak-6","Ugak",19.3,226,"2019","Pacific cod",0,0
202,"Ugak-6","Ugak",19.3,226,"2019","walleye pollock",0,0
203,"Laminaria North","Cooks",10.8,184,"2020","Pacific cod",0,16
203,"Laminaria North","Cooks",10.8,184,"2020","walleye pollock",0,0
204,"Eelgrass West","Cooks",10.6,184,"2020","Pacific cod",0,212
204,"Eelgrass West","Cooks",10.6,184,"2020","walleye pollock",0,220
205,"Laminaria East","Cooks",10.3,184,"2020","Pacific cod",0,204
205,"Laminaria East","Cooks",10.3,184,"2020","walleye pollock",0,0
206,"Eelgrass South","Cooks",10.3,184,"2020","Pacific cod",0,370
206,"Eelgrass South","Cooks",10.3,184,"2020","walleye pollock",0,55
207,"AG-1","Agripina",12.3,188,"2020","Pacific cod",0,328
207,"AG-1","Agripina",12.3,188,"2020","walleye pollock",0,0
208,"AG-2","Agripina",12.1,188,"2020","Pacific cod",0,381
208,"AG-2","Agripina",12.1,188,"2020","walleye pollock",0,78
209,"AG-5","Agripina",12,188,"2020","Pacific cod",0,615
209,"AG-5","Agripina",12,188,"2020","walleye pollock",0,331
210,"AG-3","Agripina",12.3,188,"2020","Pacific cod",0,2496
210,"AG-3","Agripina",12.3,188,"2020","walleye pollock",0,434
211,"AG-4","Agripina",12.1,188,"2020","Pacific cod",0,59
211,"AG-4","Agripina",12.1,188,"2020","walleye pollock",0,1
212,"AG-6","Agripina",13.9,188,"2020","Pacific cod",0,1
212,"AG-6","Agripina",13.9,188,"2020","walleye pollock",0,0
213,"PW-1","Port Wrangell",8.6,190,"2020","Pacific cod",0,1363
213,"PW-1","Port Wrangell",8.6,190,"2020","walleye pollock",0,2
214,"PW-2","Port Wrangell",8.8,190,"2020","Pacific cod",0,2076
214,"PW-2","Port Wrangell",8.8,190,"2020","walleye pollock",0,1224
215,"PW-3","Port Wrangell",9,190,"2020","Pacific cod",0,1122
215,"PW-3","Port Wrangell",9,190,"2020","walleye pollock",0,33
216,"PW-4","Port Wrangell",9.2,190,"2020","Pacific cod",0,323
216,"PW-4","Port Wrangell",9.2,190,"2020","walleye pollock",0,8
217,"Mit-1","Mitrofania",12.3,194,"2020","Pacific cod",0,93
217,"Mit-1","Mitrofania",12.3,194,"2020","walleye pollock",0,49
218,"Mit-2","Mitrofania",12.7,194,"2020","Pacific cod",0,37
218,"Mit-2","Mitrofania",12.7,194,"2020","walleye pollock",0,0
219,"Mit-3","Mitrofania",12.5,194,"2020","Pacific cod",0,143
219,"Mit-3","Mitrofania",12.5,194,"2020","walleye pollock",0,127
220,"Mit-4","Mitrofania",13,194,"2020","Pacific cod",0,29
220,"Mit-4","Mitrofania",13,194,"2020","walleye pollock",0,1
221,"Mit-5","Mitrofania",14.8,194,"2020","Pacific cod",0,0
221,"Mit-5","Mitrofania",14.8,194,"2020","walleye pollock",0,0
222,"Mit-6","Mitrofania",13.4,194,"2020","Pacific cod",0,10
222,"Mit-6","Mitrofania",13.4,194,"2020","walleye pollock",0,10
223,"Fox-1","Fox",12.4,196,"2020","Pacific cod",0,5
223,"Fox-1","Fox",12.4,196,"2020","walleye pollock",0,0
224,"Fox-2","Fox",13.5,196,"2020","Pacific cod",0,11
224,"Fox-2","Fox",13.5,196,"2020","walleye pollock",0,0
225,"Fox-3","Fox",13.1,196,"2020","Pacific cod",0,17
225,"Fox-3","Fox",13.1,196,"2020","walleye pollock",0,0
226,"Fox-4","Fox",12.2,196,"2020","Pacific cod",0,5
226,"Fox-4","Fox",12.2,196,"2020","walleye pollock",0,0
227,"Fox-5","Fox",13.1,196,"2020","Pacific cod",0,0
227,"Fox-5","Fox",13.1,196,"2020","walleye pollock",0,0
229,"BB-2","Balboa",12.7,199,"2020","Pacific cod",0,86
229,"BB-2","Balboa",12.7,199,"2020","walleye pollock",0,17
230,"BB-3","Balboa",13,199,"2020","Pacific cod",0,61
230,"BB-3","Balboa",13,199,"2020","walleye pollock",0,1
231,"BB-4","Balboa",12.4,199,"2020","Pacific cod",0,55
231,"BB-4","Balboa",12.4,199,"2020","walleye pollock",0,371
232,"BB-6","Balboa",13.1,199,"2020","Pacific cod",0,24
232,"BB-6","Balboa",13.1,199,"2020","walleye pollock",0,668
233,"BB-7","Balboa",13.7,199,"2020","Pacific cod",0,12
233,"BB-7","Balboa",13.7,199,"2020","walleye pollock",0,7
234,"Fal-1","Falmouth",12.3,201,"2020","Pacific cod",0,603
234,"Fal-1","Falmouth",12.3,201,"2020","walleye pollock",0,0
235,"Fal-5","Falmouth",12.2,201,"2020","Pacific cod",0,101
235,"Fal-5","Falmouth",12.2,201,"2020","walleye pollock",0,0
236,"Fal-3","Falmouth",12,201,"2020","Pacific cod",0,19
236,"Fal-3","Falmouth",12,201,"2020","walleye pollock",0,7
237,"Fal-4","Falmouth",12,201,"2020","Pacific cod",0,660
237,"Fal-4","Falmouth",12,201,"2020","walleye pollock",0,26
238,"Fal-2","Falmouth",12.2,201,"2020","Pacific cod",0,0
238,"Fal-2","Falmouth",12.2,201,"2020","walleye pollock",0,0
239,"Sand-2","Sand Point",11.9,202,"2020","Pacific cod",0,689
239,"Sand-2","Sand Point",11.9,202,"2020","walleye pollock",0,51
240,"Sand-3","Sand Point",12.2,202,"2020","Pacific cod",0,211
240,"Sand-3","Sand Point",12.2,202,"2020","walleye pollock",0,20
241,"Bar-2","Baralof",11.2,205,"2020","Pacific cod",0,59
241,"Bar-2","Baralof",11.2,205,"2020","walleye pollock",0,11
242,"Bar-3","Baralof",11,205,"2020","Pacific cod",0,861
242,"Bar-3","Baralof",11,205,"2020","walleye pollock",0,0
243,"Bar-4","Baralof",11.1,205,"2020","Pacific cod",0,33
243,"Bar-4","Baralof",11.1,205,"2020","walleye pollock",0,0
244,"Bar-5","Baralof",11,205,"2020","Pacific cod",0,83
244,"Bar-5","Baralof",11,205,"2020","walleye pollock",0,0
245,"Bar-1","Baralof",11.5,205,"2020","Pacific cod",0,77
245,"Bar-1","Baralof",11.5,205,"2020","walleye pollock",0,2
246,"Bar-6","Baralof",11.5,205,"2020","Pacific cod",0,4
246,"Bar-6","Baralof",11.5,205,"2020","walleye pollock",0,1
247,"RR-1","Rodman Reach",13.6,210,"2020","Pacific cod",0,16
247,"RR-1","Rodman Reach",13.6,210,"2020","walleye pollock",0,66
248,"RR-2","Rodman Reach",13.4,210,"2020","Pacific cod",0,3
248,"RR-2","Rodman Reach",13.4,210,"2020","walleye pollock",0,0
249,"RR-4","Rodman Reach",12.9,210,"2020","Pacific cod",0,22
249,"RR-4","Rodman Reach",12.9,210,"2020","walleye pollock",0,67
251,"RR-5","Rodman Reach",14.1,210,"2020","Pacific cod",0,0
251,"RR-5","Rodman Reach",14.1,210,"2020","walleye pollock",0,0
252,"RR-6","Rodman Reach",14,210,"2020","Pacific cod",0,6
252,"RR-6","Rodman Reach",14,210,"2020","walleye pollock",0,0
253,"Jap-2","Japanese",12.2,212,"2020","Pacific cod",0,29
253,"Jap-2","Japanese",12.2,212,"2020","walleye pollock",0,0
254,"Jap-3","Japanese",11.8,212,"2020","Pacific cod",0,332
254,"Jap-3","Japanese",11.8,212,"2020","walleye pollock",0,0
255,"Jap-6","Japanese",11.9,212,"2020","Pacific cod",0,141
255,"Jap-6","Japanese",11.9,212,"2020","walleye pollock",0,0
256,"Jap-1","Japanese",12.6,212,"2020","Pacific cod",0,45
256,"Jap-1","Japanese",12.6,212,"2020","walleye pollock",0,0
257,"Jap-5","Japanese",13.5,212,"2020","Pacific cod",0,48
257,"Jap-5","Japanese",13.5,212,"2020","walleye pollock",0,0
258,"Jap-4","Japanese",13.1,212,"2020","Pacific cod",0,167
258,"Jap-4","Japanese",13.1,212,"2020","walleye pollock",0,0
259,"Kai-1","Kaiugnak",12.1,214,"2020","Pacific cod",0,44
259,"Kai-1","Kaiugnak",12.1,214,"2020","walleye pollock",0,0
260,"Kai-2","Kaiugnak",12.1,214,"2020","Pacific cod",0,636
260,"Kai-2","Kaiugnak",12.1,214,"2020","walleye pollock",0,0
261,"Kai-6","Kaiugnak",11.9,214,"2020","Pacific cod",0,221
261,"Kai-6","Kaiugnak",11.9,214,"2020","walleye pollock",0,0
262,"Kai-3","Kaiugnak",11.3,214,"2020","Pacific cod",0,238
262,"Kai-3","Kaiugnak",11.3,214,"2020","walleye pollock",0,0
263,"Kai-7","Kaiugnak",11.9,214,"2020","Pacific cod",0,5
263,"Kai-7","Kaiugnak",11.9,214,"2020","walleye pollock",0,0
264,"Kai-4","Kaiugnak",12.2,214,"2020","Pacific cod",0,231
264,"Kai-4","Kaiugnak",12.2,214,"2020","walleye pollock",0,0
265,"Kilu-1","Kiluida",12.7,216,"2020","Pacific cod",0,35
265,"Kilu-1","Kiluida",12.7,216,"2020","walleye pollock",0,0
266,"Kilu-2","Kiluida",12.7,216,"2020","Pacific cod",0,12
266,"Kilu-2","Kiluida",12.7,216,"2020","walleye pollock",0,0
267,"Kilu-4","Kiluida",12.5,216,"2020","Pacific cod",0,28
267,"Kilu-4","Kiluida",12.5,216,"2020","walleye pollock",0,0
268,"Kilu-6","Kiluida",12.5,216,"2020","Pacific cod",0,101
268,"Kilu-6","Kiluida",12.5,216,"2020","walleye pollock",0,0
269,"Kilu-5","Kiluida",12.2,216,"2020","Pacific cod",0,181
269,"Kilu-5","Kiluida",12.2,216,"2020","walleye pollock",0,0
270,"Kilu-3","Kiluida",12.8,216,"2020","Pacific cod",0,11
270,"Kilu-3","Kiluida",12.8,216,"2020","walleye pollock",0,0
271,"Ugak-2","Ugak",13.7,220,"2020","Pacific cod",0,0
271,"Ugak-2","Ugak",13.7,220,"2020","walleye pollock",0,0
272,"Ugak-3","Ugak",13.8,220,"2020","Pacific cod",0,0
272,"Ugak-3","Ugak",13.8,220,"2020","walleye pollock",0,0
273,"Ugak-4","Ugak",12.6,220,"2020","Pacific cod",0,2
273,"Ugak-4","Ugak",12.6,220,"2020","walleye pollock",0,0
274,"Ugak-8","Ugak",13.2,220,"2020","Pacific cod",0,0
274,"Ugak-8","Ugak",13.2,220,"2020","walleye pollock",0,0
275,"Ugak-5","Ugak",13.1,220,"2020","Pacific cod",0,0
275,"Ugak-5","Ugak",13.1,220,"2020","walleye pollock",0,0
276,"Ugak-6","Ugak",13.5,220,"2020","Pacific cod",0,7
276,"Ugak-6","Ugak",13.5,220,"2020","walleye pollock",0,0
277,"Ugak-7","Ugak",13.8,220,"2020","Pacific cod",0,0
277,"Ugak-7","Ugak",13.8,220,"2020","walleye pollock",0,0
